Weapon,Weapon Class,BTK at 0,BTK at 20,BTK at 35,BTK at 75,RPM,fire interval ms,"Velocity, ms","TTK at 0 m, ms","TTK at 20 m, ms","TTK at 35 m, ms","TTK at 75 m, ms",Burst Hits,Burst Accuracy Coefficient,CQB Accuracy Coefficient,Long Range Accuracy Coefficient,20 m Power Score,21 m Power Score,35 m Power Score,75 m Power Score,practical lethality coefficient,,Explanations of metrics:,,,
SGX,SMG,4,5,6,7,830,72,402,217,339,449,620,4.72,0.94,0.97,0.92,348,460,475,676,0.359,,,,,
RPKM,LMG,3,4,5,5,553,108,670,217,355,486,546,4.00,1.00,1.00,1.00,355,486,486,546,0.355,,,,,
PW7A2,SMG,6,6,7,7,947,63,600,317,350,438,505,5.72,0.95,0.98,0.93,358,448,460,543,0.367,,,,,"75 m Power Score - This is the 75 meter TTK adjusted by the Long Range Accuracy Coefficient.
NB! Some weapons like the M250 and M277 have damage dropoff that starts in ranges further than 75 meters. As the furthest target in the Firing Range is at 75 meters, this is not tested or reflected in the analysis."
PW5A3,SMG,4,5,6,7,771,78,432,233,358,470,641,4.72,0.94,0.97,0.92,367,482,498,698,0.379,,,,,
KTS100 MK8,LMG,4,4,5,5,514,117,840,350,374,509,556,4.00,1.00,1.00,1.00,374,509,509,556,,,,,,
M4A1,CRB,4,5,6,6,900,67,630,200,298,389,452,3.00,0.60,0.78,0.46,383,500,648,973,0.497,,,,,
M417 A2,CRB,3,4,5,5,654,92,600,183,309,425,492,2.54,0.64,0.80,0.51,384,530,670,972,0.486,,,,,
GRT-BC,CRB,4,5,6,6,830,72,624,217,321,418,482,3.27,0.65,0.82,0.53,394,512,638,911,0.491,,,,,
M277,CRB,4,4,4,4,720,83,599,250,283,308,375,2.09,0.52,0.72,0.38,395,430,590,993,0.542,,,,,
SL9,SMG,4,5,6,7,675,89,510,267,395,513,680,5.00,1.00,1.00,1.00,395,513,513,680,0.395,,,,,
USG-90,SMG,5,6,7,7,900,67,570,267,368,461,532,5.10,0.85,0.93,0.78,396,496,543,678,0.433,,,,,
QBZ,CRB,4,5,6,6,771,78,644,233,342,443,506,3.26,0.65,0.81,0.53,420,545,680,960,0.525,,,,,
UMG-40,SMG,4,5,6,6,635,94,488,283,419,544,626,4.72,0.94,0.97,0.92,430,558,576,683,0.444,,,,,
AK-205,CRB,5,6,7,7,720,83,737,333,444,547,602,6.00,1.00,1.00,1.00,444,547,547,602,0.444,,,,,
